Time,id,cost,crashes,hangs,internal_lines_covered,internal_target_reached,l_per,l_abs,b_per,b_abs,target_really_reached
0,0,0.0,0,0,902,True,18.3,871,11.8,286,True
64,1,0.10567935,0,0,918,True,18.6,883,12.0,291,False
100,2,0.24344865000000002,0,0,967,True,19.7,937,13.1,317,True
117,3,0.3041796,0,0,1425,True,24.4,1159,16.7,406,True
128,4,0.3663183,0,0,1436,True,24.5,1165,16.8,407,True
141,5,0.42657314999999996,0,0,1439,True,24.6,1171,16.8,408,True
199,6,0.5138459999999999,0,0,1439,True,24.6,1171,16.8,408,True
244,8,0.5544652499999999,0,0,1456,True,24.8,1180,17.1,415,True
262,9,0.59642895,0,0,1461,True,25.1,1194,17.4,423,True
278,10,0.6391376999999999,0,0,1469,True,25.3,1203,17.6,428,True
282,7,0.7533875999999999,0,0,1470,True,25.3,1204,17.8,431,True
