2026-04-17 14:13:32.101 | INFO     | app.utils.utils:load_code_from_file:65 - Loading file from ./code_example/prompt/sleep.c
2026-04-17 14:13:32.101 | INFO     | app.utils.utils:load_code_from_file:65 - Loading file from ./code_example/prompt/sleep.c.instr
2026-04-17 14:13:32.121 | INFO     | app.utils.utils:update_project_dir:26 - Project directory /bc-gcov
2026-04-17 14:13:32.834 | INFO     | app.agents.testcase:load_testcases:780 - Loaded 11 test cases
2026-04-17 14:13:32.834 | INFO     | app.commands.replay:replay_test_case:106 - Ready to replay 11 test cases
2026-04-17 14:13:32.834 | INFO     | app.commands.replay:replay_test_case:154 - Valid testcases after time_taken sorting (11 testcases): [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 7]
2026-04-17 14:13:32.834 | INFO     | app.commands.replay:replay_test_case:164 - --- Test case #0: replay started ---
2026-04-17 14:13:32.840 | DEBUG    | app.utils.utils:_execute_target:183 - Child process changed working directory to /bc-gcov
2026-04-17 14:13:32.845 | DEBUG    | app.utils.utils:_execute_target:267 - Restored working directory to /concolic-agent
2026-04-17 14:13:32.847 | DEBUG    | app.utils.utils:exec_code_function:326 - Child process finished with exit code: 0
2026-04-17 14:13:32.849 | INFO     | app.commands.replay:replay_test_case:214 - Test case #0 has been executed successfully
2026-04-17 14:13:32.849 | DEBUG    | app.commands.replay:run_coverage_script:30 - Running coverage script with args: /coverage.sh None None None
2026-04-17 14:13:32.985 | INFO     | app.commands.replay:replay_test_case:282 - --- Test case #0: replay finished ---
2026-04-17 14:13:32.985 | INFO     | app.commands.replay:replay_test_case:164 - --- Test case #1: replay started ---
2026-04-17 14:13:32.985 | DEBUG    | app.commands.replay:run_coverage_script:30 - Running coverage script with args: /coverage.sh bc/main.c 15 You should have received a copy of the GNU General Public License
2026-04-17 14:13:33.111 | DEBUG    | app.commands.replay:replay_test_case:207 - Target lines previous coverage: [0, 0]
2026-04-17 14:13:33.114 | DEBUG    | app.utils.utils:_execute_target:183 - Child process changed working directory to /bc-gcov
2026-04-17 14:13:33.115 | DEBUG    | app.utils.utils:_execute_target:267 - Restored working directory to /concolic-agent
2026-04-17 14:13:33.117 | DEBUG    | app.utils.utils:exec_code_function:326 - Child process finished with exit code: 0
2026-04-17 14:13:33.117 | INFO     | app.commands.replay:replay_test_case:214 - Test case #1 has been executed successfully
2026-04-17 14:13:33.117 | DEBUG    | app.commands.replay:run_coverage_script:30 - Running coverage script with args: /coverage.sh None None None
2026-04-17 14:13:33.232 | DEBUG    | app.commands.replay:run_coverage_script:30 - Running coverage script with args: /coverage.sh bc/main.c 15 You should have received a copy of the GNU General Public License
2026-04-17 14:13:33.342 | INFO     | app.commands.replay:replay_test_case:282 - --- Test case #1: replay finished ---
2026-04-17 14:13:33.342 | INFO     | app.commands.replay:replay_test_case:164 - --- Test case #2: replay started ---
2026-04-17 14:13:33.342 | DEBUG    | app.commands.replay:run_coverage_script:30 - Running coverage script with args: /coverage.sh bc/main.c 156 temp = bc_malloc(sizeof(file_node));
2026-04-17 14:13:33.451 | DEBUG    | app.commands.replay:run_coverage_script:30 - Running coverage script with args: /coverage.sh bc/main.c 157 temp->name = argv[optind];
2026-04-17 14:13:33.561 | DEBUG    | app.commands.replay:run_coverage_script:30 - Running coverage script with args: /coverage.sh bc/main.c 158 temp->next = NULL;
2026-04-17 14:13:33.666 | DEBUG    | app.commands.replay:replay_test_case:207 - Target lines previous coverage: [2, 2, 2]
2026-04-17 14:13:33.673 | DEBUG    | app.utils.utils:_execute_target:183 - Child process changed working directory to /bc-gcov
2026-04-17 14:13:33.675 | DEBUG    | app.utils.utils:_execute_target:267 - Restored working directory to /concolic-agent
2026-04-17 14:13:33.679 | DEBUG    | app.utils.utils:exec_code_function:326 - Child process finished with exit code: 0
2026-04-17 14:13:33.679 | INFO     | app.commands.replay:replay_test_case:214 - Test case #2 has been executed successfully
2026-04-17 14:13:33.679 | DEBUG    | app.commands.replay:run_coverage_script:30 - Running coverage script with args: /coverage.sh None None None
2026-04-17 14:13:33.786 | DEBUG    | app.commands.replay:run_coverage_script:30 - Running coverage script with args: /coverage.sh bc/main.c 156 temp = bc_malloc(sizeof(file_node));
2026-04-17 14:13:33.899 | INFO     | app.commands.replay:replay_test_case:282 - --- Test case #2: replay finished ---
2026-04-17 14:13:33.899 | INFO     | app.commands.replay:replay_test_case:164 - --- Test case #3: replay started ---
