Time,id,cost,crashes,hangs,internal_lines_covered,internal_target_reached,l_per,l_abs,b_per,b_abs,target_really_reached
0,0,0.0,0,0,902,True,18.3,871,11.8,286,True
217,1,0.56954475,0,0,902,False,18.6,883,12.1,293,True
460,2,1.1202592500000002,0,0,913,True,18.7,890,12.1,295,True
472,3,1.1849518500000003,0,0,916,True,18.8,896,12.2,296,True
483,4,1.2513630000000002,0,0,1374,True,23.5,1117,15.8,384,True
504,5,1.3211245500000002,0,0,1394,True,23.8,1132,16.0,388,True
543,6,1.41392445,0,0,1398,True,24.0,1143,16.4,399,True
643,7,1.6139883000000002,0,0,1398,True,24.0,1143,16.4,399,False
740,8,1.7564811000000002,0,0,1492,False,24.0,1143,16.4,399,True
808,9,1.8585688500000002,0,0,1492,False,24.0,1143,16.4,399,False
844,10,1.9359870000000001,0,0,1494,True,24.1,1146,16.5,400,False
949,11,2.233152,0,0,1502,True,24.3,1155,16.7,405,True
977,13,2.29062735,0,0,1504,True,24.3,1158,16.8,408,True
987,14,2.3497947,0,0,1506,True,24.4,1162,16.8,409,True
1009,12,2.4269721,0,0,1508,True,24.5,1166,16.9,410,True
1013,15,2.51331675,0,0,1510,True,24.6,1168,16.9,411,True
1070,16,2.66191035,0,0,1558,True,25.3,1204,17.9,434,True
1083,17,2.7064844999999997,0,0,1558,True,25.3,1204,17.9,434,True
1104,18,2.7572745,0,0,1558,True,25.3,1204,17.9,434,True
1127,19,2.8314909,0,0,1559,True,25.3,1205,17.9,435,True
1151,20,2.8964298,0,0,1559,False,25.3,1205,17.9,435,False
