Time,l_per,l_abs,b_per,b_abs,covered_times_of_line
1776409300,22.3,296,14.2,177,0
1776409311,22.9,304,14.8,185,0
1776409314,22.9,304,14.8,185,0
1776409317,22.9,304,14.8,185,0
1776409320,22.9,304,14.8,185,0
1776409323,22.9,304,14.8,185,0
1776409327,22.9,304,14.8,185,0
1776409330,22.9,304,14.8,185,0
1776409336,22.9,304,14.8,185,0
1776409340,22.9,304,14.8,185,0
1776409364,22.9,304,14.8,185,0
1776409448,22.9,304,14.8,185,0
1776409467,22.9,304,14.8,185,0
1776409472,22.9,304,14.8,185,0
1776409557,22.9,304,14.8,185,0
1776409816,22.9,304,14.8,185,0
1776409821,22.9,304,14.8,185,0
1776409824,22.9,304,14.8,185,0
1776409872,22.9,304,14.8,185,0
1776409892,22.9,304,14.8,185,0
1776409898,22.9,304,14.8,185,0
1776409915,23.5,311,15.2,189,0
1776409918,23.5,311,15.2,189,0
1776409925,23.5,311,15.2,189,0
1776409928,23.5,311,15.2,189,0
1776409943,23.5,311,15.2,189,0
1776409950,23.5,311,15.2,189,0
1776409957,23.5,311,15.2,189,0
1776409964,23.5,311,15.2,189,0
1776409982,23.5,311,15.2,189,0
1776410016,23.5,311,15.2,189,0
1776410020,23.5,311,15.2,189,0
1776410104,23.5,311,15.2,190,0
1776410104,23.5,311,15.2,190,0
