Time,id,cost,crashes,hangs,internal_lines_covered,internal_target_reached,l_per,l_abs,b_per,b_abs,target_really_reached
0,0,0.0,0,0,710,True,22.3,296,14.2,177,True
65,1,0.18282975,0,0,917,True,26.5,352,17.1,213,False
79,2,0.2347353,0,0,982,True,28.4,377,18.8,235,True
112,3,0.30279675,0,0,1087,True,31.0,411,20.5,256,True
129,4,0.3555402,0,0,1092,True,32.1,426,21.3,266,True
149,5,0.41032155,0,0,1108,True,32.7,434,22.2,277,False
219,6,0.58246155,0,0,1108,True,32.7,434,22.2,277,False
235,7,0.6359097,0,0,1109,True,33.0,437,22.5,280,True
242,8,0.68136555,0,0,1118,True,33.3,442,23.7,295,False
257,9,0.72928755,0,0,1242,True,36.7,486,26.5,331,False
300,10,0.8014326,0,0,1258,False,37.3,494,27.0,337,False
405,11,1.0846200000000001,0,0,1351,False,39.6,525,28.9,361,True
424,12,1.14552165,0,0,1365,False,41.6,552,31.6,394,True
451,13,1.2087550500000002,0,0,1384,True,42.2,560,32.2,402,True
473,14,1.2743469,0,0,1384,True,42.2,560,32.3,403,False
490,15,1.33920075,0,0,1628,True,50.4,668,38.4,479,False
564,16,1.51434465,0,0,1653,True,50.9,675,39.0,486,True
583,17,1.5781391999999999,0,0,1655,True,51.1,678,39.1,488,False
597,18,1.6305203999999998,0,0,1658,True,51.4,681,39.2,489,True
620,19,1.6987645499999997,0,0,1747,True,55.8,740,42.7,532,True
640,20,1.7701355999999997,0,0,1803,False,56.6,751,43.1,538,False
